Date_Year_regrowth,Percent_Hard_Coral_Cover,Date_Year_bleaching,Percent_Bleaching
,,2005,68.1
,,2006,68.4
,,2005,68.4
,,2006,68.42
,,2005,68.75
,,2005,68.8
,,2005,68.8
,,2005,68.9
,,2005,68.9
,,2010,69
,,2005,69.1
,,2005,69.2
,,2005,69.2
,,2005,69.23
,,2005,69.23
,,2005,69.4
,,2005,69.4
,,2005,69.4
,,2010,69.49
,,2005,69.6
,,2002,69.94
,,2003,70
,,2005,70
,,2010,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2007,70
,,1998,70
,,2005,70
,,2004,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,1998,70
,,2010,70
,,2005,70
,,2009,70
,,2005,70
,,2010,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2006,70.4
,,2005,70.59
,,2005,70.6
,,2005,70.7
,,2006,70.9
,,2005,70.9
,,2005,71
,,2005,71
,,2005,71.1
,,2005,71.4
,,2005,71.4
,,2006,71.4
,,2006,71.4
,,2006,71.4
,,2005,71.4
,,2005,71.4
,,2006,71.43
,,2005,71.43
,,2006,71.43
,,2005,71.6
,,2006,71.6
,,2005,71.6
,,2005,71.7
,,2005,71.7
,,2005,71.88
,,2005,71.9
,,2005,72
,,2005,72
,,2005,72
,,2006,72.2
,,2005,72.2
,,2005,72.2
,,2006,72.22
,,1994,72.38
,,2005,72.4
,,2006,72.5
,,2005,72.6
,,2005,72.7
,,2005,72.7
,,2005,72.7
,,2005,72.7
,,2006,72.7
,,2005,72.7
,,2004,72.73
,,2004,72.73
,,2004,72.73
,,2005,72.73
,,2010,73
,,2005,73
,,2005,73
,,2005,73
,,2006,73.3
,,2006,73.3
,,2005,73.3
,,2006,73.33
,,2006,73.33
,,2005,73.5
,,2005,73.5
,,2005,73.7
,,2005,73.8
,,2005,73.9
,,2005,73.9
,,2005,73.91
,,2005,74
,,2006,74
,,2005,74
,,2005,74.07
,,2005,74.1
,,2005,74.1
,,2005,74.2
,,2005,74.3
,,2005,74.4
,,1994,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2006,75
,,2005,75
,,2009,75
,,2009,75
,,2000,75
,,2010,75
,,2002,75
,,2002,75
,,2004,75
,,2005,75
,,2005,75
,,2006,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2006,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,1998,75
,,2005,75
,,2010,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2011,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2007,75.5
,,2007,75.5
,,2005,75.8
,,2005,75.9
,,2005,76
,,2005,76
,,2005,76.1
,,2005,76.2
,,2005,76.3
,,2005,76.4
,,2005,76.47
,,1998,76.5
,,2005,76.5
,,2006,76.9
,,2005,76.9
,,2005,76.9
,,2006,76.92
,,2005,77
,,2006,77.27
,,2006,77.3
,,2005,77.5
,,2005,77.5
,,2005,77.5
,,2005,77.78
,,2006,77.78
,,2004,77.78
,,2005,77.78
,,2006,77.8
,,2005,77.8
,,2005,77.8
,,2005,77.8
,,2005,77.8
,,2005,78
,,2005,78
,,2005,78
,,2005,78
,,2005,78.1
,,2005,78.2
,,2005,78.2
,,2005,78.3
,,2005,78.3
,,2005,78.6
,,2005,78.6
,,2005,78.6
,,2005,78.9
,,2005,78.9
,,2010,79
,,2005,79
,,2005,79
,,2005,79.2
,,2005,79.3
,,2005,79.4
,,2005,79.6
,,2005,80
,,1996,80
,,1996,80
,,2005,80
,,2005,80
,,2010,80
,,2010,80
,,2010,80
,,2010,80
,,2005,80
,,2005,80
,,2005,80
,,2000,80
,,2000,80
,,2010,80
,,2007,80
,,2005,80
,,2006,80
,,2005,80
,,2005,80
,,2006,80
,,2005,80
,,2005,80
,,2005,80
,,1998,80
,,2005,80
,,2005,80
,,2011,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80.1
,,1998,80.49
,,2005,80.7
,,2005,80.8
,,2005,81
,,2005,81
,,2005,81
,,2005,81.1
,,1998,81.8
,,2006,81.8
,,2006,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2004,81.82
,,2006,81.82
,,2006,81.82
,,2005,81.82
,,2007,82
,,2010,82
,,2005,82
,,2010,82
,,2006,82
,,2005,82
,,2002,82.29
,,2005,82.3
,,2005,82.3
,,2006,82.35
,,2006,82.4
,,2005,82.5
,,2005,82.5
,,2005,82.7
,,2005,83
,,2005,83
,,2005,83
,,1998,83.1
,,2006,83.2
,,2005,83.3
,,2006,83.3
,,2005,83.3
,,2006,83.3
,,2005,83.3
,,2005,83.3
,,2006,83.3
,,2005,83.3
,,2005,83.3
,,2005,83.3
2011,1.53,2005,83.3
2013,3.58,2005,83.3
2015,5.5,2005,83.3
2011,3.5,2005,83.33
2013,4.3,2006,83.33
2015,4.5,2006,83.33
2008,27.76,2005,83.33
2011,4.17,2006,83.33
2014,1.62,2000,83.5
2017,26.93,1998,83.85
2006,13.29,2005,83.9
2007,,2005,83.9
2008,11.71,2005,84
2009,,2005,84.1
2012,14.56,2005,84.3
2013,,2006,84.9
2014,14.24,2005,85
2015,,2005,85
2016,13.29,2005,85
2017,,2010,85
2018,13.92,1998,85
2006,,2010,85
2007,13.29,2010,85
2008,,2010,85
2009,15.19,2005,85
2012,,2010,85
2013,16.77,2010,85
2014,,2005,85
2015,17.41,2005,85.1
2016,,2005,85.3
2017,16.14,2005,85.5
2018,,2006,85.7
2006,15.53,2005,85.7
2007,,2005,85.7
2008,11.11,2005,85.7
2009,,2005,85.7
2010,16.16,2005,85.7
2012,,2005,85.7
2013,15.22,2005,85.7
2014,,2004,85.71
2016,15.85,2005,85.71
2017,,2006,85.71
2018,14.27,2005,85.9
2006,,2005,86
2007,16.79,2005,86
2008,,2005,86.7
2009,15.22,2005,86.7
2012,,2005,86.8
2013,16.48,1998,87
2014,,2005,87
2015,18.06,2005,87
2016,,2005,87
2017,20.27,2000,87.5
2018,,2005,87.5
2006,3.46,1986,87.5
2007,,2006,87.5
2008,3.77,2006,87.5
2009,,2006,87.5
2010,3.46,2006,87.5
2012,,2005,87.5
2013,3.46,2005,87.5
2014,,2005,87.8
2015,4.4,2005,87.9
2016,,2005,88
2017,4.4,1998,88
2018,,2006,88.2
2018,3.46,2005,88.2
2018,,2005,88.2
2018,4.4,2005,88.2
2015,,2006,88.24
2017,7.23,2005,88.46
2018,,2005,88.5
2018,5.35,2005,88.6
2015,,2005,88.7
2015,5.66,2005,88.8
2017,,2005,88.8
2019,11.47,2005,88.89
2017,,2005,88.9
2019,6.37,2006,88.9
2016,,2005,88.9
2017,3.5,2005,88.9
,,2005,88.9
2016,,2005,88.9
2018,8.92,2005,88.9
2019,,2005,88.9
2015,6.05,2005,88.9
2017,,2006,89
2018,3.82,2005,89
2019,8.6,2005,89
2015,,2005,89.2
2016,9.55,1998,89.26
2016,,2005,89.5
2017,9.87,2005,89.5
2019,,2005,90
2017,11.15,2005,90
2019,,2005,90
2016,12.1,2005,90
2015,,2005,90
2016,4.14,2010,90
2016,,2010,90
2015,3.82,2005,90
2015,,2010,90
2016,3.19,2005,90
2017,,2000,90
2019,3.82,2000,90
2017,,2000,90
2019,4.46,2000,90
2017,,1998,90
2019,5.1,2010,90
2018,,2006,90
2015,5.73,2002,90
2016,,2002,90
2018,6.37,2006,90
2019,,2006,90
2015,7.64,2005,90
2016,,1998,90
2009,7.64,2010,90
2009,,2010,90
2009,7.01,2005,90
2009,,2005,90
2013,49.3,2005,90
2013,35.7,2005,90
2013,63,2005,90.2
2013,49.7,2005,90.2
2017,52.3,2005,90.5
2017,1,2005,90.9
2017,40,2005,91
2017,16.3,2005,91.5
2015,71.3,2005,91.7
2015,75,2005,91.7
2015,7.3,2005,91.7
2015,13,2005,91.8
2011,53.3,2005,92
2011,71,2006,92
2011,17.7,2005,92
2011,44.7,2005,92
2009,7.7,2005,92
2009,17.3,2005,92.1
2009,34,2005,92.2
2009,50.7,2007,92.5
2013,8,2005,92.6
2013,19,2005,92.9
2013,37.7,2005,93
2013,83.3,2005,93
2017,12.3,2005,93
2017,36.3,2005,93
2017,7,2005,93
2017,18.3,2005,93.2
2004,70.3,2005,93.6
2004,36.7,2005,93.8
2004,20.7,2005,93.8
2004,76,2005,93.9
2005,21,2006,94
2005,44.7,2006,94
2005,72,2005,94
2005,72.7,2005,94
2004,25.3,2005,94
2015,50.3,2006,94
2015,52.3,2005,94.2
2015,35,2005,94.4
2015,56.7,2005,95
2004,22,2005,95
2004,47.7,2005,95
2004,22.6,2005,95
2007,40,2010,95
2007,15.7,2005,95
2007,12,2006,95
2007,18.7,2005,95
2011,40.7,2005,95
2011,15.3,1996,95
2011,25.2,2005,95
2011,30.9,1998,95
2009,33.9,2010,95
2009,39.7,2005,95
2009,33.3,2005,95.5
2009,27.5,2005,95.6
2013,44.7,2005,95.6
2013,33.6,2005,95.7
2013,31.3,2005,95.8
2013,55,2005,96
2017,50,2006,96
2017,56,2005,96
2017,41.2,2006,96
2017,25,2006,96
2005,32.4,2005,96
2005,35.7,2005,96
2005,31,2005,96.2
2005,36.7,2005,96.2
2004,24.5,2006,96.5
2004,38.6,2005,96.7
2004,54.4,2000,97
2004,37.4,2010,97
2015,49.4,2005,97
2015,29.9,2005,97
2015,37.5,2005,97
2015,54.2,1998,97.02
2004,29.1,2005,97.5
2004,36.6,2005,97.5
2004,34.3,2005,98
2004,42.7,2005,98
2007,55.7,2005,98
2007,41.6,2005,98
2007,71,2005,98
2007,48.5,2005,98.3
2011,37.6,2005,98.4
2011,45.3,1996,98.5
2011,58,2005,98.5
2011,48,2005,98.8
2011,43.6,2005,99
2011,54.1,2008,99
2013,46.8,2008,99
2013,35.9,1983,99
2013,26.8,2005,99
2013,49.3,2003,100
2009,38.2,2002,100
2009,35.9,2006,100
2009,30.6,1996,100
2009,36.5,1996,100
2017,44.2,1996,100
2017,46.6,1996,100
2017,26.1,1996,100
2017,50,1996,100
2015,36.5,2005,100
2015,34.4,2005,100
2015,49.5,2000,100
2015,34.9,2005,100
2011,38.8,2005,100
2011,36.6,2005,100
2013,41.3,1998,100
2013,43.3,1998,100
2013,54.3,2001,100
2013,24.2,2001,100
2009,33.8,2006,100
2009,38,2006,100
2009,47.1,2006,100
2009,50,2006,100
2017,44.3,2006,100
2017,37.3,2005,100
2017,53.3,2005,100
2017,42.6,2006,100
2015,43.2,2006,100
2015,40.3,2005,100
2015,42.53,2006,100
2015,34.3,2006,100
2011,37.43,2006,100
2011,36.22,2005,100
2011,20.6,2005,100
2011,35.8,2006,100
2011,39.6,2006,100
2011,12.1,2005,100
2011,29.29,2006,100
2009,23.01,2005,100
2009,44.1,2005,100
2009,24.06,2005,100
2009,42.9,2005,100
2013,43.3,2005,100
2013,49.6,2006,100
2013,32.4,2006,100
2013,32.7,2006,100
2015,28,2006,100
2015,29.1,2005,100
2015,42.7,2005,100
2015,24.4,2006,100
2017,25,2006,100
2017,20.4,2006,100
2017,22,2005,100
2017,17.7,2005,100
2004,45.4,2006,100
2004,34.8,2006,100
2004,31.8,2005,100
2004,44.3,2006,100
2005,31.2,2006,100
2005,36,2005,100
2005,43.6,2005,100
2005,13.2,2005,100
2007,46.6,2005,100
2007,20,2005,100
2007,46.3,2005,100
2007,14,2005,100
2004,49.3,1983,100
2004,29.8,2005,100
2004,15.8,2005,100
2004,25.3,2005,100
2011,12.2,2005,100
2011,6.7,2005,100
2011,25.2,2005,100
2009,27.6,2005,100
2009,35.4,2005,100
2009,26.8,2005,100
2009,37.2,2005,100
2013,34.2,2005,100
2013,52.9,2005,100
2013,48.5,2005,100
2013,44.3,2005,100
2017,25,2005,100
2017,31,2005,100
2017,32.4,1996,100
2017,56,2005,100
2005,33.3,2005,100
2005,37.9,2005,100
2005,54.8,2005,100
2005,42.6,2005,100
2004,44.8,2005,100
2004,47.7,2005,100
2004,46.5,2005,100
2004,42.2,2005,100
2015,63.29,2005,100
2015,54.01,2005,100
2015,56.1,2005,100
2015,45.6,2005,100
2004,20.7,2005,100
2004,54.5,2005,100
2004,61.2,2005,100
2004,46.2,2005,100
2007,53.4,2005,100
2007,54.2,1996,100
2007,44.9,2005,100
2007,59.4,2005,100
2011,48.2,2005,100
2011,53.5,2005,100
2011,69.1,2005,100
2011,56.9,2005,100
2011,52.6,2005,100
2011,50.7,1998,75
2011,58.2,1998,75
2011,62.9,1998,75
2009,46.8,1998,75
2009,46.8,1998,75
2009,69.4,2002,75
2009,71.2,2002,75
2013,74.3,2002,75
2013,69.5,2002,75
2013,56,2002,75
2013,51,2002,75
2017,52.7,2002,75
2017,47.3,2002,75
2017,51.3,2002,75
2017,26.9,2002,75
2004,43.2,2002,75
2004,39.3,2002,75
2004,42,2002,75
2004,38.7,2002,75
2015,44.4,1998,75
2015,54.4,1998,75
2015,39.3,1998,75
2015,48.1,2002,75
2005,51.4,2002,75
2005,56.5,2002,75
2005,41.1,2002,75
2005,58.5,2002,75
2007,39.3,2002,75
2007,55,2002,75
2007,47.5,2002,75
2007,34.3,2002,75
2004,48.3,2002,75
2004,35.4,2002,75
2004,41,2002,75
2004,39.5,2002,75
2013,47.6,2002,75
2013,34.5,2002,75
2013,23,2002,75
2013,46.5,2002,75
2009,47.5,2002,75
2009,40,2002,75
2009,36.4,2002,75
2009,41.6,2002,75
2017,38.1,1998,75
2017,22.2,2002,75
2017,35.2,2002,75
2017,53.2,2002,75
2015,42.6,2002,75
2015,41.3,2002,75
2015,48.2,2002,75
2015,29.8,2002,75
2011,41.2,2002,75
2011,45.1,2002,75
2011,32.7,2002,75
2011,26.3,2002,75
2011,44.3,2002,75
2011,30.7,2002,75
2011,47.3,2002,75
2011,54.5,2002,75
2013,53.8,2002,75
2013,41.7,2002,75
2013,31.7,2002,75
2013,42.9,2002,75
2005,28.4,2002,75
2005,18.1,2002,75
2005,43.7,2002,75
2005,48.2,2002,75
2017,33.3,2002,75
2017,25,2002,75
2017,54.6,2002,75
2017,61,2002,75
2004,39,2002,75
2004,46.9,2002,75
2004,40.6,2002,75
2004,42.2,2002,75
2015,23,2002,75
2015,56.3,2002,75
2015,40.9,2002,75
2015,33.8,2002,75
2004,34.4,2002,75
2004,50,2002,75
2004,51.4,2002,75
2004,31.4,2002,75
2007,43.9,2002,75
2007,51.3,2002,75
2007,56.3,2002,75
